timestamp,BTCUSD,DOGEUSD,LTCUSD,DASHUSD,ETHUSD,ZECUSD,ETCUSD,EOSUSD,NEOUSD,BTGUSD,XRPUSDT,TRXUSD
2019-05-18 21:28:00,7279.2,0.00296109,87.1616,142.5448,235.013,72.4773,7.21681,5.90299,10.85286,20.66635,0.372171,0.0265181
2019-05-18 21:29:00,7284.93,0.00296947,87.1954,142.537,235.177,72.5714,7.22592,5.9081,10.85231,20.60661,0.372209,0.0265315
2019-05-18 21:30:00,7290.17,0.00296946,87.2502,142.5998,235.279,72.5931,7.22031,5.91374,10.86327,20.60661,0.372657,0.0265384
2019-05-18 21:31:00,7294.11,0.00296946,87.2509,142.599,235.656,72.6288,7.2173,5.92656,10.85626,20.60661,0.372688,0.0265405
2019-05-18 21:32:00,7296.97,0.00296535,87.2509,142.6309,235.799,72.6482,7.21885,5.92731,10.85245,20.65518,0.373071,0.0265907
2019-05-18 21:33:00,7288.75,0.00296305,87.2847,142.7355,235.811,72.6312,7.21844,5.92741,10.85361,20.61167,0.373216,0.0265605
2019-05-18 21:34:00,7290.0,0.00296416,87.3443,142.8363,235.788,72.5985,7.21666,5.92492,10.85255,20.66027,0.373322,0.0265766
2019-05-18 21:35:00,7290.0,0.00296569,87.3443,142.8564,235.904,72.6011,7.22968,5.92732,10.8488,20.64088,0.373574,0.0265484
2019-05-18 21:36:00,7306.46,0.002966,87.4,142.9346,236.365,72.7861,7.23072,5.93467,10.85561,20.68667,0.373931,0.0265913
2019-05-18 21:37:00,7309.51,0.00296485,87.4923,142.892,236.909,72.8176,7.24766,5.93506,10.8648,20.68413,0.374096,0.0266149
2019-05-18 21:38:00,7303.56,0.00296102,87.4656,142.9061,237.121,72.7861,7.24069,5.9248,10.86234,20.6872,0.374039,0.0266185
2019-05-18 21:39:00,7304.88,0.00296292,87.3622,143.1662,237.5,72.8682,7.24474,5.92857,10.87128,20.6814,0.374395,0.0266056
2019-05-18 21:40:00,7311.49,0.00296133,87.4219,143.4659,237.494,72.889,7.25107,5.9324,10.86097,20.68444,0.374462,0.0266172
2019-05-18 21:41:00,7315.22,0.00296189,87.4219,143.605,238.009,73.0429,7.25107,5.93079,10.86852,20.69081,0.374984,0.0266347
2019-05-18 21:42:00,7308.62,0.002954,87.4538,143.6005,237.696,73.026,7.25088,5.92969,10.8676,20.67027,0.373571,0.0266293
2019-05-18 21:43:00,7301.58,0.00296126,87.4077,143.619,237.536,73.026,7.24872,5.93149,10.85344,20.67256,0.374183,0.0266381
2019-05-18 21:44:00,7308.4,0.002946,87.4095,143.5971,238.034,73.1177,7.24872,5.93271,10.85344,20.69267,0.374528,0.026622
2019-05-18 21:45:00,7304.66,0.00294731,87.3407,143.6094,237.818,73.1222,7.24443,5.93006,10.84848,20.64534,0.374656,0.0266325
2019-05-18 21:46:00,7310.32,0.00294535,87.379,143.5903,237.914,73.2295,7.24681,5.93601,10.86031,20.67035,0.374822,0.026624
2019-05-18 21:47:00,7310.54,0.00294105,87.4724,143.7185,238.194,73.2018,7.24106,5.93463,10.86273,20.68247,0.375173,0.0266395
2019-05-18 21:48:00,7319.78,0.00294738,87.6506,143.8326,238.45,73.321,7.24503,5.93463,10.85188,20.69199,0.375707,0.0266363
2019-05-18 21:49:00,7319.4,0.00294955,87.6875,143.7761,238.552,73.3344,7.25685,5.93792,10.85737,20.66827,0.3757,0.0266303
2019-05-18 21:50:00,7318.74,0.00295157,87.7346,143.7917,238.522,73.3601,7.25428,5.93983,10.86341,20.6897,0.375608,0.02665
2019-05-18 21:51:00,7320.72,0.00295189,87.8103,143.7892,238.635,73.3606,7.27119,5.94516,10.86891,20.6897,0.37567,0.0266683
2019-05-18 21:52:00,7319.62,0.00295081,87.8232,143.8069,238.675,73.4038,7.26859,5.94806,10.86891,20.69011,0.375906,0.0266757
